{'01044099999': -10.0, '02293099999': -27.6}
         410333 function calls (405725 primitive calls) in 7.218 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  910/156    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.003    0.003 random.py:1(<module>)
      312    0.002    0.000    0.003    0.000 _parser.py:449(_uniq)
     6049    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.003    0.003 socks.py:1(<module>)
        2    0.000    0.000    0.003    0.001 models.py:351(prepare)
       52    0.000    0.000    0.002    0.000 typing.py:1269(__init__)
      201    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.002    0.002 _internal_utils.py:1(<module>)
        1    0.000    0.000    0.002    0.002 base64.py:1(<module>)
     3175    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
       17    0.000    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
       22    0.000    0.000    0.002    0.000 enum.py:528(__new__)
       16    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.002    0.002 message.py:135(Message)
        2    0.000    0.000    0.002    0.001 adapters.py:446(get_connection_with_tls_context)
      168    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      157    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
     1171    0.001    0.000    0.002    0.000 response.py:9(is_fp_closed)
      141    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        1    0.000    0.000    0.002    0.002 connection.py:114(_has_ipv6)
        5    0.002    0.000    0.002    0.000 socket.py:221(__init__)
        2    0.000    0.000    0.002    0.001 utils.py:765(should_bypass_proxies)
      179    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
        2    0.000    0.000    0.002    0.001 client.py:245(parse_headers)
2368/2300    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
      473    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      142    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
     4030    0.001    0.000    0.002    0.000 _parser.py:256(match)
     2442    0.002    0.000    0.002    0.000 socket.py:745(readable)
        2    0.000    0.000    0.002    0.001 poolmanager.py:276(connection_from_host)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
      201    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.002    0.002 cookiejar.py:1246(CookieJar)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
        2    0.000    0.000    0.002    0.001 poolmanager.py:305(connection_from_context)
       52    0.000    0.000    0.002    0.000 typing.py:892(__init__)
        2    0.000    0.000    0.002    0.001 client.py:231(_parse_header_lines)
        1    0.000    0.000    0.002    0.002 string.py:1(<module>)
      168    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        2    0.000    0.000    0.002    0.001 parser.py:56(parsestr)
        2    0.000    0.000    0.002    0.001 utils.py:114(proxy_bypass)
        2    0.000    0.000    0.002    0.001 parser.py:41(parse)
       52    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     4884    0.001    0.000    0.001    0.000 ssl.py:1083(_checkClosed)
      178    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
     2444    0.001    0.000    0.001    0.000 {method '__exit__' of 'memoryview' objects}
        1    0.001    0.001    0.001    0.001 idnadata.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        4    0.000    0.000    0.001    0.000 url.py:367(parse_url)
       19    0.000    0.000    0.001    0.000 typing.py:1476(__getitem__)
        2    0.000    0.000    0.001    0.001 poolmanager.py:330(connection_from_pool_key)
        2    0.000    0.000    0.001    0.001 connection.py:369(request)
      186    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
        2    0.000    0.000    0.001    0.001 models.py:409(prepare_url)
        1    0.001    0.001    0.001    0.001 errors.py:1(<module>)
     1049    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     2344    0.001    0.000    0.001    0.000 client.py:453(isclosed)
      216    0.000    0.000    0.001    0.000 enum.py:726(__call__)
       24    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
     2196    0.001    0.000    0.001    0.000 _parser.py:164(__len__)
     2028    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        1    0.000    0.000    0.001    0.001 request.py:935(AbstractBasicAuthHandler)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     1845    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      337    0.001    0.000    0.001    0.000 typing.py:1215(__setattr__)
        2    0.000    0.000    0.001    0.001 feedparser.py:171(feed)
      415    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:997(exec_module)
       85    0.000    0.000    0.001    0.000 _parser.py:98(closegroup)
      178    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
       15    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
      423    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
        2    0.000    0.000    0.001    0.001 poolmanager.py:229(_new_pool)
        4    0.000    0.000    0.001    0.000 feedparser.py:176(_call_parse)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       64    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
     1235    0.001    0.000    0.001    0.000 _parser.py:176(append)
       46    0.000    0.000    0.001    0.000 functools.py:516(decorating_function)
      478    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
        4    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
      141    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        6    0.001    0.000    0.001    0.000 url.py:227(_encode_invalid_chars)
        2    0.000    0.000    0.001    0.001 connectionpool.py:980(__init__)
      846    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        2    0.000    0.000    0.001    0.000 request.py:2751(getproxies)
        2    0.000    0.000    0.001    0.000 connectionpool.py:175(__init__)
        2    0.000    0.000    0.001    0.000 client.py:425(_close_conn)
     1282    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        2    0.000    0.000    0.001    0.000 {method 'close' of '_io.BufferedReader' objects}
       17    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
       22    0.000    0.000    0.001    0.000 typing.py:1485(copy_with)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
        2    0.000    0.000    0.001    0.000 socket.py:783(close)
     1171    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
     2342    0.001    0.000    0.001    0.000 response.py:249(__len__)
       12    0.000    0.000    0.001    0.000 structures.py:40(__init__)
        2    0.000    0.000    0.001    0.000 utils.py:76(proxy_bypass_registry)
     1403    0.001    0.000    0.001    0.000 _parser.py:293(tell)
        5    0.000    0.000    0.001    0.000 socket.py:501(close)
      216    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
       52    0.000    0.000    0.001    0.000 typing.py:1174(__init__)
        2    0.000    0.000    0.001    0.000 socket.py:491(_decref_socketios)
        4    0.000    0.000    0.001    0.000 request.py:2505(getproxies_environment)
     1171    0.001    0.000    0.001    0.000 response.py:469(_decode)
      477    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
        1    0.000    0.000    0.001    0.001 __init__.py:152(EntryPoint)
       16    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
        2    0.000    0.000    0.001    0.000 adapters.py:359(build_response)
        2    0.000    0.000    0.001    0.000 ssl.py:1309(_real_close)
       14    0.000    0.000    0.001    0.000 sessions.py:61(merge_setting)
        1    0.000    0.000    0.001    0.001 status_codes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:436(PercentStyle)
     1195    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
        6    0.001    0.000    0.001    0.000 {built-in method winreg.QueryValueEx}
     1396    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      178    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
        4    0.000    0.000    0.001    0.000 ssl.py:399(__new__)
      178    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
        5    0.001    0.000    0.001    0.000 {built-in method nt._path_exists}
      163    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.001    0.001 _meta.py:1(<module>)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:989(create_module)
      201    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
     1519    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        2    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       87    0.000    0.000    0.001    0.000 typing.py:730(<genexpr>)
      376    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      362    0.000    0.000    0.001    0.000 typing.py:1161(_is_dunder)
     1155    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       20    0.000    0.000    0.001    0.000 parse.py:374(urlparse)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2317(_IPv6Constants)
        1    0.000    0.000    0.001    0.001 _encoded_words.py:1(<module>)
      681    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2241(__init__)
       10    0.000    0.000    0.001    0.000 enum.py:1414(_missing_)
        4    0.000    0.000    0.001    0.000 cookies.py:124(extract_cookies_to_jar)
        2    0.000    0.000    0.001    0.000 sessions.py:390(__init__)
     2357    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      681    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        2    0.000    0.000    0.001    0.000 _collections.py:240(__init__)
       55    0.000    0.000    0.001    0.000 typing.py:262(_collect_parameters)
       50    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
        3    0.000    0.000    0.001    0.000 socket.py:497(_real_close)
        1    0.000    0.000    0.001    0.001 retry.py:1(<module>)
      323    0.000    0.000    0.001    0.000 enum.py:850(__setattr__)
        2    0.000    0.000    0.001    0.000 request.py:2702(getproxies_registry)
        3    0.001    0.000    0.001    0.000 {function socket.close at 0x000001868CB47240}
       44    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
        2    0.000    0.000    0.001    0.000 _collections.py:335(extend)
      123    0.000    0.000    0.001    0.000 _parser.py:312(_class_escape)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1569(_IPv4Constants)
