{'01044099999': -10.0, '02293099999': -27.6}
         330971 function calls (326426 primitive calls) in 3.080 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 typing.py:1575(__getitem__)
      248    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      162    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
      228    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
    76/63    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:659(FastPath)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 functools.py:772(_find_impl)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
      288    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        3    0.000    0.000    0.000    0.000 typing.py:1074(_generic_class_getitem)
      314    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       10    0.000    0.000    0.000    0.000 _functools.py:75(wrapper)
      207    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      200    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       60    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 abc.py:62(Traversable)
      439    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 readers.py:17(__init__)
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
       71    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      154    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
      401    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      301    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      473    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       71    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        7    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
